title,duration,score,genre,actors
The Matrix,136,8.7,Sci-Fi,Keanu Reeves;Laurence Fishburne
Titanic,195,7.8,Drama,Leonardo DiCaprio;Kate Winslet
Inception,148,8.8,Sci-Fi,Leonardo DiCaprio;Joseph Gordon-Levitt
The Godfather,175,9.2,Crime,Marlon Brando;Al Pacino
Forrest Gump,142,8.8,Drama,Tom Hanks;Robin Wright
The Dark Knight,152,9.0,Action,Christian Bale;Heath Ledger
Pulp Fiction,154,8.9,Crime,John Travolta;Samuel L. Jackson
Fight Club,139,8.8,Drama,Brad Pitt;Edward Norton
The Lord of the Rings: The Fellowship of the Ring,178,8.8,Fantasy,Elijah Wood;Ian McKellen
The Lord of the Rings: The Two Towers,179,8.7,Fantasy,Elijah Wood;Viggo Mortensen
The Lord of the Rings: The Return of the King,201,8.9,Fantasy,Elijah Wood;Viggo Mortensen
Interstellar,169,8.6,Sci-Fi,Matthew McConaughey;Anne Hathaway
Gladiator,155,8.5,Action,Russell Crowe;Joaquin Phoenix
Jurassic Park,127,8.1,Adventure,Sam Neill;Laura Dern
The Lion King,88,8.5,Animation,Matthew Broderick;Jeremy Irons
Back to the Future,116,8.5,Adventure,Michael J. Fox;Christopher Lloyd
The Avengers,143,8.0,Action,Robert Downey Jr.;Chris Evans
Iron Man,126,7.9,Action,Robert Downey Jr.;Gwyneth Paltrow
Guardians of the Galaxy,121,8.0,Action,Chris Pratt;Zoe Saldana
The Shawshank Redemption,142,9.3,Drama,Tim Robbins;Morgan Freeman
The Departed,151,8.5,Crime,Leonardo DiCaprio;Matt Damon
Mad Max: Fury Road,120,8.1,Action,Tom Hardy;Charlize Theron
Black Panther,134,7.3,Action,Chadwick Boseman;Michael B. Jordan
Parasite,132,8.6,Thriller,Song Kang-ho;Lee Sun-kyun
Spirited Away,125,8.6,Animation,Rumi Hiiragi;Miyu Irino
Whiplash,106,8.5,Drama,Miles Teller;J.K. Simmons
The Social Network,120,7.7,Drama,Jesse Eisenberg;Andrew Garfield
La La Land,128,8.0,Musical,Ryan Gosling;Emma Stone
